national,south,north,east,central,west,timestamp
47,44,37,47,47,34,2016-02-07T18:00:00+08:00
59,57,54,59,57,56,2016-02-08T23:00:00+08:00
59,57,55,59,57,56,2016-02-09T01:00:00+08:00
59,57,55,59,56,56,2016-02-09T02:00:00+08:00
59,58,55,59,56,56,2016-02-09T03:00:00+08:00
59,58,55,59,56,56,2016-02-09T04:00:00+08:00
59,58,55,59,57,56,2016-02-09T05:00:00+08:00
60,58,55,60,57,56,2016-02-09T06:00:00+08:00
60,58,56,60,57,56,2016-02-09T07:00:00+08:00
61,58,57,61,57,56,2016-02-09T08:00:00+08:00
61,58,57,61,57,57,2016-02-09T09:00:00+08:00
62,58,57,62,57,57,2016-02-09T10:00:00+08:00
62,58,58,62,58,58,2016-02-09T11:00:00+08:00
62,58,58,62,58,58,2016-02-09T12:00:00+08:00
63,59,58,63,59,59,2016-02-09T13:00:00+08:00
63,59,59,63,59,59,2016-02-09T14:00:00+08:00
63,59,59,63,59,60,2016-02-09T15:00:00+08:00
63,59,59,63,59,60,2016-02-09T16:00:00+08:00
64,60,59,64,59,60,2016-02-09T17:00:00+08:00
63,60,59,63,59,60,2016-02-09T18:00:00+08:00
63,60,59,63,59,60,2016-02-09T19:00:00+08:00
63,59,58,63,59,60,2016-02-09T20:00:00+08:00
63,59,59,63,59,60,2016-02-09T21:00:00+08:00
63,59,58,63,59,60,2016-02-09T22:00:00+08:00
63,59,58,63,59,60,2016-02-09T23:00:00+08:00
62,58,57,62,59,59,2016-02-10T01:00:00+08:00
62,58,57,62,58,59,2016-02-10T02:00:00+08:00
62,57,56,62,58,58,2016-02-10T03:00:00+08:00
62,57,56,62,58,58,2016-02-10T04:00:00+08:00
61,56,55,61,57,57,2016-02-10T05:00:00+08:00
61,56,55,61,57,57,2016-02-10T06:00:00+08:00
61,56,55,61,57,56,2016-02-10T07:00:00+08:00
60,55,54,60,56,56,2016-02-10T08:00:00+08:00
60,55,54,60,56,56,2016-02-10T09:00:00+08:00
60,55,53,60,55,55,2016-02-10T10:00:00+08:00
59,54,53,59,55,55,2016-02-10T11:00:00+08:00
59,54,53,59,55,54,2016-02-10T12:00:00+08:00
58,54,53,58,54,54,2016-02-10T13:00:00+08:00
58,53,53,58,54,53,2016-02-10T14:00:00+08:00
58,54,53,58,53,53,2016-02-10T15:00:00+08:00
57,54,53,57,53,53,2016-02-10T16:00:00+08:00
57,53,52,57,53,53,2016-02-10T17:00:00+08:00
57,53,52,57,53,53,2016-02-10T18:00:00+08:00
57,53,52,57,52,53,2016-02-10T19:00:00+08:00
56,53,52,56,52,53,2016-02-10T20:00:00+08:00
56,53,51,56,51,52,2016-02-10T21:00:00+08:00
55,52,51,55,50,52,2016-02-10T22:00:00+08:00
55,51,48,55,47,51,2016-02-10T23:00:00+08:00
54,48,47,54,44,48,2016-02-11T01:00:00+08:00
53,47,45,53,43,46,2016-02-11T02:00:00+08:00
52,47,44,52,42,44,2016-02-11T03:00:00+08:00
52,45,42,52,41,43,2016-02-11T04:00:00+08:00
51,44,40,51,38,41,2016-02-11T05:00:00+08:00
49,43,39,49,36,40,2016-02-11T06:00:00+08:00
47,40,37,47,35,39,2016-02-11T07:00:00+08:00
45,41,35,45,35,37,2016-02-11T08:00:00+08:00
44,40,34,44,34,35,2016-02-11T09:00:00+08:00
41,39,34,41,34,35,2016-02-11T10:00:00+08:00
40,39,33,40,32,32,2016-02-11T11:00:00+08:00
37,36,32,37,31,33,2016-02-11T12:00:00+08:00
36,35,32,36,30,31,2016-02-11T13:00:00+08:00
35,35,30,35,30,31,2016-02-11T14:00:00+08:00
33,32,29,33,28,29,2016-02-11T15:00:00+08:00
31,29,28,31,27,28,2016-02-11T16:00:00+08:00
30,28,27,30,26,27,2016-02-11T17:00:00+08:00
28,26,27,28,25,26,2016-02-11T18:00:00+08:00
28,26,26,28,25,26,2016-02-11T19:00:00+08:00
28,26,26,28,25,26,2016-02-11T20:00:00+08:00
29,25,26,29,25,26,2016-02-11T21:00:00+08:00
28,26,27,28,27,27,2016-02-11T22:00:00+08:00
30,27,28,30,28,27,2016-02-11T23:00:00+08:00
34,30,28,34,33,29,2016-02-12T01:00:00+08:00
35,31,29,35,33,29,2016-02-12T02:00:00+08:00
36,31,30,36,34,30,2016-02-12T03:00:00+08:00
36,33,30,36,34,30,2016-02-12T04:00:00+08:00
37,32,29,37,35,32,2016-02-12T05:00:00+08:00
38,33,30,38,35,32,2016-02-12T06:00:00+08:00
38,34,30,38,36,32,2016-02-12T07:00:00+08:00
39,35,32,39,36,32,2016-02-12T08:00:00+08:00
39,36,32,39,36,34,2016-02-12T09:00:00+08:00
40,35,32,40,37,33,2016-02-12T10:00:00+08:00
41,36,32,41,38,36,2016-02-12T11:00:00+08:00
44,43,35,44,43,37,2016-02-12T16:00:00+08:00
46,44,36,46,44,38,2016-02-12T17:00:00+08:00
47,47,37,47,46,38,2016-02-12T18:00:00+08:00
46,46,38,46,46,38,2016-02-12T19:00:00+08:00
46,46,38,45,45,37,2016-02-12T20:00:00+08:00
46,46,37,44,45,35,2016-02-12T21:00:00+08:00
47,47,36,44,46,36,2016-02-12T22:00:00+08:00
50,50,36,43,48,35,2016-02-12T23:00:00+08:00
49,49,36,41,49,36,2016-02-13T01:00:00+08:00
50,49,36,40,50,37,2016-02-13T02:00:00+08:00
51,50,37,40,51,38,2016-02-13T03:00:00+08:00
51,49,37,40,51,39,2016-02-13T04:00:00+08:00
51,50,38,40,51,39,2016-02-13T05:00:00+08:00
51,49,37,39,51,39,2016-02-13T06:00:00+08:00
51,49,37,39,51,38,2016-02-13T07:00:00+08:00
51,48,36,43,51,38,2016-02-13T08:00:00+08:00
51,48,36,39,51,37,2016-02-13T09:00:00+08:00
50,47,36,38,50,37,2016-02-13T10:00:00+08:00
48,47,38,38,48,35,2016-02-13T11:00:00+08:00
47,46,39,39,47,35,2016-02-13T12:00:00+08:00
47,45,39,39,47,35,2016-02-13T13:00:00+08:00
47,43,38,39,47,36,2016-02-13T14:00:00+08:00
46,43,37,39,46,35,2016-02-13T15:00:00+08:00
46,42,37,40,46,35,2016-02-13T16:00:00+08:00
46,42,37,39,46,34,2016-02-13T17:00:00+08:00
43,40,35,38,43,34,2016-02-13T18:00:00+08:00
44,40,34,40,44,34,2016-02-13T19:00:00+08:00
44,39,34,41,44,34,2016-02-13T20:00:00+08:00
44,38,34,41,44,34,2016-02-13T21:00:00+08:00
42,36,35,42,42,34,2016-02-13T22:00:00+08:00
42,35,36,42,40,35,2016-02-13T23:00:00+08:00
42,33,37,42,36,35,2016-02-14T01:00:00+08:00
42,33,38,42,34,34,2016-02-14T02:00:00+08:00
42,32,39,42,33,33,2016-02-14T03:00:00+08:00
42,32,41,42,32,32,2016-02-14T04:00:00+08:00
42,33,41,42,32,33,2016-02-14T05:00:00+08:00
43,33,41,43,32,34,2016-02-14T06:00:00+08:00
43,33,41,43,34,35,2016-02-14T07:00:00+08:00
43,33,41,43,34,35,2016-02-14T08:00:00+08:00
43,33,42,43,34,36,2016-02-14T09:00:00+08:00
43,34,40,43,34,36,2016-02-14T10:00:00+08:00
44,34,39,44,35,36,2016-02-14T11:00:00+08:00
43,34,38,43,37,36,2016-02-14T12:00:00+08:00
44,35,37,44,37,37,2016-02-14T13:00:00+08:00
44,36,38,44,36,37,2016-02-14T14:00:00+08:00
45,36,40,45,40,40,2016-02-14T15:00:00+08:00
43,39,40,43,40,39,2016-02-14T16:00:00+08:00
43,39,40,43,42,39,2016-02-14T17:00:00+08:00
44,39,41,44,44,39,2016-02-14T18:00:00+08:00
44,40,41,43,44,39,2016-02-14T19:00:00+08:00
43,40,41,43,43,39,2016-02-14T20:00:00+08:00
44,42,41,44,44,40,2016-02-14T21:00:00+08:00
45,44,42,44,45,39,2016-02-14T22:00:00+08:00
46,44,42,45,46,38,2016-02-14T23:00:00+08:00
49,48,44,46,49,38,2016-02-15T01:00:00+08:00
51,49,42,48,51,39,2016-02-15T02:00:00+08:00
51,49,41,48,51,40,2016-02-15T03:00:00+08:00
51,49,39,48,51,41,2016-02-15T04:00:00+08:00
51,48,40,49,51,41,2016-02-15T05:00:00+08:00
51,48,42,49,51,41,2016-02-15T06:00:00+08:00
50,48,42,48,50,41,2016-02-15T07:00:00+08:00
51,49,43,49,51,42,2016-02-15T08:00:00+08:00
51,49,45,48,51,42,2016-02-15T09:00:00+08:00
52,51,45,49,52,42,2016-02-15T10:00:00+08:00
51,51,46,51,51,44,2016-02-15T11:00:00+08:00
51,51,47,51,51,43,2016-02-15T12:00:00+08:00
51,51,47,51,51,43,2016-02-15T13:00:00+08:00
52,51,48,52,51,41,2016-02-15T14:00:00+08:00
52,51,47,52,49,38,2016-02-15T15:00:00+08:00
52,51,48,52,49,39,2016-02-15T16:00:00+08:00
53,50,48,53,47,41,2016-02-15T17:00:00+08:00
52,51,48,52,47,42,2016-02-15T18:00:00+08:00
53,50,48,53,46,44,2016-02-15T19:00:00+08:00
53,51,48,53,48,44,2016-02-15T20:00:00+08:00
53,50,48,53,47,45,2016-02-15T21:00:00+08:00
53,49,48,53,48,45,2016-02-15T22:00:00+08:00
52,48,46,52,48,46,2016-02-15T23:00:00+08:00
52,46,46,52,48,46,2016-02-16T01:00:00+08:00
52,46,51,52,47,46,2016-02-16T02:00:00+08:00
52,48,51,52,50,46,2016-02-16T03:00:00+08:00
52,49,52,52,51,46,2016-02-16T04:00:00+08:00
52,49,51,52,51,45,2016-02-16T05:00:00+08:00
52,48,50,52,51,45,2016-02-16T06:00:00+08:00
52,48,49,52,51,44,2016-02-16T07:00:00+08:00
52,48,49,52,51,44,2016-02-16T08:00:00+08:00
52,47,48,52,50,43,2016-02-16T09:00:00+08:00
53,46,48,53,50,43,2016-02-16T10:00:00+08:00
53,45,47,53,51,43,2016-02-16T11:00:00+08:00
53,47,46,53,51,44,2016-02-16T12:00:00+08:00
52,46,47,52,51,43,2016-02-16T13:00:00+08:00
52,45,45,52,51,44,2016-02-16T14:00:00+08:00
52,45,45,52,51,44,2016-02-16T15:00:00+08:00
52,45,46,52,51,43,2016-02-16T16:00:00+08:00
52,46,45,52,52,42,2016-02-16T17:00:00+08:00
52,46,45,52,52,41,2016-02-16T18:00:00+08:00
52,48,46,51,52,39,2016-02-16T19:00:00+08:00
52,49,48,51,52,39,2016-02-16T21:00:00+08:00
52,48,49,52,52,38,2016-02-16T22:00:00+08:00
52,49,51,52,52,38,2016-02-16T23:00:00+08:00
52,50,51,52,51,37,2016-02-17T01:00:00+08:00
52,49,49,52,51,37,2016-02-17T02:00:00+08:00
52,48,47,52,49,35,2016-02-17T03:00:00+08:00
52,47,47,52,50,35,2016-02-17T04:00:00+08:00
52,48,48,52,51,35,2016-02-17T05:00:00+08:00
52,51,49,52,52,36,2016-02-17T06:00:00+08:00
52,52,51,52,52,37,2016-02-17T07:00:00+08:00
53,52,51,52,53,38,2016-02-17T08:00:00+08:00
54,53,51,53,54,40,2016-02-17T09:00:00+08:00
54,53,51,52,54,42,2016-02-17T10:00:00+08:00
55,54,52,52,55,43,2016-02-17T11:00:00+08:00
55,54,52,52,55,46,2016-02-17T12:00:00+08:00
55,54,52,53,55,48,2016-02-17T13:00:00+08:00
55,55,53,53,55,50,2016-02-17T14:00:00+08:00
55,55,53,52,55,52,2016-02-17T15:00:00+08:00
55,55,53,52,55,52,2016-02-17T16:00:00+08:00
55,55,53,52,55,52,2016-02-17T17:00:00+08:00
56,55,53,53,56,53,2016-02-17T18:00:00+08:00
56,55,53,53,56,53,2016-02-17T19:00:00+08:00
56,55,53,53,56,53,2016-02-17T20:00:00+08:00
56,56,53,53,56,53,2016-02-17T21:00:00+08:00
56,56,53,52,56,54,2016-02-17T22:00:00+08:00
56,56,53,52,56,54,2016-02-17T23:00:00+08:00
57,57,53,53,57,55,2016-02-18T01:00:00+08:00
57,57,53,53,57,55,2016-02-18T02:00:00+08:00
58,57,53,53,58,55,2016-02-18T03:00:00+08:00
58,58,54,54,58,55,2016-02-18T04:00:00+08:00
58,58,55,54,58,55,2016-02-18T05:00:00+08:00
58,58,55,55,58,55,2016-02-18T06:00:00+08:00
58,58,56,55,58,55,2016-02-18T07:00:00+08:00
57,57,56,55,57,56,2016-02-18T08:00:00+08:00
57,57,56,56,57,55,2016-02-18T09:00:00+08:00
57,57,56,56,57,55,2016-02-18T10:00:00+08:00
57,57,56,57,57,55,2016-02-18T11:00:00+08:00
57,57,56,57,57,55,2016-02-18T12:00:00+08:00
57,57,56,57,57,55,2016-02-18T13:00:00+08:00
57,57,56,57,57,55,2016-02-18T14:00:00+08:00
57,57,56,57,56,55,2016-02-18T15:00:00+08:00
57,57,56,57,56,55,2016-02-18T16:00:00+08:00
57,57,56,57,56,55,2016-02-18T17:00:00+08:00
57,56,56,57,56,55,2016-02-18T18:00:00+08:00
57,56,56,57,56,54,2016-02-18T19:00:00+08:00
57,56,56,57,56,54,2016-02-18T20:00:00+08:00
57,55,55,57,55,54,2016-02-18T21:00:00+08:00
56,55,55,56,55,54,2016-02-18T22:00:00+08:00
56,55,55,56,55,54,2016-02-18T23:00:00+08:00
55,55,55,55,55,54,2016-02-19T01:00:00+08:00
55,55,54,55,55,54,2016-02-19T02:00:00+08:00
55,54,54,55,54,54,2016-02-19T03:00:00+08:00
54,54,53,54,53,54,2016-02-19T04:00:00+08:00
54,53,52,54,53,54,2016-02-19T05:00:00+08:00
53,52,51,53,52,53,2016-02-19T06:00:00+08:00
52,52,47,52,51,52,2016-02-19T07:00:00+08:00
52,52,44,52,51,52,2016-02-19T08:00:00+08:00
52,52,42,49,48,51,2016-02-19T09:00:00+08:00
51,51,41,44,47,50,2016-02-19T10:00:00+08:00
48,47,40,40,44,48,2016-02-19T11:00:00+08:00
46,46,38,39,43,44,2016-02-19T12:00:00+08:00
46,46,37,40,40,41,2016-02-19T13:00:00+08:00
45,45,36,40,40,39,2016-02-19T14:00:00+08:00
44,44,35,39,38,38,2016-02-19T15:00:00+08:00
44,44,35,40,38,36,2016-02-19T16:00:00+08:00
45,45,37,40,37,35,2016-02-19T17:00:00+08:00
43,43,37,40,36,35,2016-02-19T18:00:00+08:00
41,41,36,39,35,35,2016-02-19T19:00:00+08:00
41,41,36,38,33,34,2016-02-19T20:00:00+08:00
41,41,36,39,33,33,2016-02-19T21:00:00+08:00
39,39,34,39,31,31,2016-02-19T22:00:00+08:00
38,37,33,38,29,30,2016-02-19T23:00:00+08:00
36,33,31,36,26,27,2016-02-20T01:00:00+08:00
34,31,30,34,24,24,2016-02-20T02:00:00+08:00
34,29,29,34,22,22,2016-02-20T03:00:00+08:00
34,30,28,34,23,21,2016-02-20T04:00:00+08:00
34,30,28,34,23,21,2016-02-20T05:00:00+08:00
34,30,29,34,23,21,2016-02-20T06:00:00+08:00
35,33,30,35,24,22,2016-02-20T07:00:00+08:00
36,34,31,36,25,23,2016-02-20T08:00:00+08:00
36,36,32,36,26,23,2016-02-20T09:00:00+08:00
41,37,41,38,27,24,2016-02-20T10:00:00+08:00
43,39,43,41,29,23,2016-02-20T11:00:00+08:00
44,41,44,42,32,24,2016-02-20T12:00:00+08:00
45,42,45,43,35,27,2016-02-20T13:00:00+08:00
45,44,45,45,37,28,2016-02-20T14:00:00+08:00
47,45,45,47,39,29,2016-02-20T15:00:00+08:00
51,50,44,51,45,29,2016-02-20T20:00:00+08:00
51,51,47,51,46,31,2016-02-20T21:00:00+08:00
52,51,48,52,47,31,2016-02-20T22:00:00+08:00
52,52,51,52,48,33,2016-02-20T23:00:00+08:00
53,52,52,53,51,36,2016-02-21T01:00:00+08:00
54,53,52,54,52,38,2016-02-21T02:00:00+08:00
54,53,53,54,52,39,2016-02-21T03:00:00+08:00
54,53,53,54,52,39,2016-02-21T04:00:00+08:00
55,54,53,55,52,41,2016-02-21T05:00:00+08:00
56,54,54,56,52,42,2016-02-21T06:00:00+08:00
56,54,55,56,52,43,2016-02-21T07:00:00+08:00
57,54,55,57,53,45,2016-02-21T08:00:00+08:00
58,54,54,58,53,47,2016-02-21T09:00:00+08:00
58,53,53,58,53,47,2016-02-21T10:00:00+08:00
58,53,52,58,53,48,2016-02-21T11:00:00+08:00
58,52,52,58,52,48,2016-02-21T12:00:00+08:00
58,52,52,58,52,48,2016-02-21T13:00:00+08:00
57,51,51,57,51,47,2016-02-21T14:00:00+08:00
57,51,52,57,51,47,2016-02-21T15:00:00+08:00
56,51,52,56,51,49,2016-02-21T16:00:00+08:00
56,52,51,56,51,50,2016-02-21T17:00:00+08:00
56,52,51,56,50,51,2016-02-21T18:00:00+08:00
56,51,51,56,49,49,2016-02-21T19:00:00+08:00
56,51,51,56,51,49,2016-02-21T20:00:00+08:00
56,51,48,56,50,47,2016-02-21T21:00:00+08:00
56,52,49,56,51,47,2016-02-21T22:00:00+08:00
56,52,49,56,51,48,2016-02-21T23:00:00+08:00
56,52,49,56,51,49,2016-02-22T01:00:00+08:00
57,52,48,57,51,49,2016-02-22T02:00:00+08:00
57,52,48,57,51,49,2016-02-22T03:00:00+08:00
57,52,47,57,51,50,2016-02-22T04:00:00+08:00
56,52,45,56,52,49,2016-02-22T05:00:00+08:00
56,52,45,56,52,49,2016-02-22T06:00:00+08:00
55,52,43,55,52,48,2016-02-22T07:00:00+08:00
55,52,42,55,51,47,2016-02-22T08:00:00+08:00
55,52,43,55,51,48,2016-02-22T09:00:00+08:00
54,52,44,54,52,48,2016-02-22T10:00:00+08:00
54,52,43,54,51,47,2016-02-22T11:00:00+08:00
54,53,43,54,52,48,2016-02-22T12:00:00+08:00
54,53,43,54,52,48,2016-02-22T13:00:00+08:00
54,54,44,54,52,49,2016-02-22T14:00:00+08:00
54,54,43,54,52,49,2016-02-22T15:00:00+08:00
54,53,43,54,52,49,2016-02-22T16:00:00+08:00
53,53,42,53,51,49,2016-02-22T17:00:00+08:00
53,53,42,53,51,51,2016-02-22T18:00:00+08:00
53,53,43,53,51,51,2016-02-22T19:00:00+08:00
53,53,44,53,50,51,2016-02-22T20:00:00+08:00
53,53,46,53,49,51,2016-02-22T21:00:00+08:00
53,52,45,53,47,51,2016-02-22T22:00:00+08:00
52,52,45,52,46,51,2016-02-22T23:00:00+08:00
53,52,46,53,45,51,2016-02-23T01:00:00+08:00
53,52,46,53,46,51,2016-02-23T02:00:00+08:00
53,52,46,53,47,51,2016-02-23T03:00:00+08:00
53,52,46,53,47,51,2016-02-23T04:00:00+08:00
53,52,47,53,46,52,2016-02-23T05:00:00+08:00
53,52,46,53,46,52,2016-02-23T06:00:00+08:00
53,52,46,53,46,52,2016-02-23T07:00:00+08:00
53,52,46,53,47,52,2016-02-23T08:00:00+08:00
52,52,45,52,47,52,2016-02-23T09:00:00+08:00
53,52,45,53,48,51,2016-02-23T10:00:00+08:00
53,52,44,53,48,52,2016-02-23T11:00:00+08:00
53,52,44,53,49,52,2016-02-23T12:00:00+08:00
53,51,45,53,51,52,2016-02-23T13:00:00+08:00
53,47,46,53,51,52,2016-02-23T14:00:00+08:00
53,49,47,53,52,52,2016-02-23T15:00:00+08:00
54,49,48,54,52,51,2016-02-23T16:00:00+08:00
54,49,49,54,52,51,2016-02-23T17:00:00+08:00
54,48,49,54,52,51,2016-02-23T18:00:00+08:00
54,47,48,54,52,50,2016-02-23T19:00:00+08:00
54,47,47,54,52,51,2016-02-23T20:00:00+08:00
54,47,45,54,53,52,2016-02-23T21:00:00+08:00
54,46,45,54,53,52,2016-02-23T22:00:00+08:00
55,46,44,55,53,51,2016-02-23T23:00:00+08:00
54,46,44,54,53,51,2016-02-24T01:00:00+08:00
54,45,45,54,53,49,2016-02-24T02:00:00+08:00
54,46,47,54,52,49,2016-02-24T03:00:00+08:00
55,43,47,55,52,47,2016-02-24T08:00:00+08:00
56,43,47,56,52,47,2016-02-24T09:00:00+08:00
56,42,48,56,52,48,2016-02-24T10:00:00+08:00
56,43,48,56,51,47,2016-02-24T11:00:00+08:00
56,44,50,56,51,48,2016-02-24T12:00:00+08:00
56,45,51,56,50,49,2016-02-24T13:00:00+08:00
56,48,50,56,49,49,2016-02-24T14:00:00+08:00
56,48,49,56,48,47,2016-02-24T15:00:00+08:00
55,47,53,55,47,46,2016-02-24T16:00:00+08:00
55,47,46,55,45,45,2016-02-24T17:00:00+08:00
55,47,46,55,43,44,2016-02-24T18:00:00+08:00
55,46,46,55,43,44,2016-02-24T19:00:00+08:00
55,47,48,55,42,43,2016-02-24T20:00:00+08:00
55,47,49,55,42,42,2016-02-24T21:00:00+08:00
54,47,49,54,41,42,2016-02-24T22:00:00+08:00
54,49,49,54,42,43,2016-02-24T23:00:00+08:00
53,48,48,53,41,42,2016-02-25T01:00:00+08:00
53,47,46,53,41,42,2016-02-25T02:00:00+08:00
52,46,45,52,40,43,2016-02-25T03:00:00+08:00
52,45,44,52,41,41,2016-02-25T04:00:00+08:00
53,45,44,53,39,41,2016-02-25T05:00:00+08:00
53,44,43,53,39,40,2016-02-25T06:00:00+08:00
53,43,42,53,38,38,2016-02-25T07:00:00+08:00
52,44,41,52,38,37,2016-02-25T08:00:00+08:00
52,44,43,52,39,37,2016-02-25T09:00:00+08:00
52,44,43,52,39,37,2016-02-25T10:00:00+08:00
52,44,42,52,39,38,2016-02-25T11:00:00+08:00
51,42,42,51,39,37,2016-02-25T12:00:00+08:00
51,41,41,51,38,35,2016-02-25T13:00:00+08:00
51,39,41,51,37,36,2016-02-25T14:00:00+08:00
51,38,41,51,38,36,2016-02-25T15:00:00+08:00
51,39,41,51,39,39,2016-02-25T16:00:00+08:00
51,39,41,51,40,40,2016-02-25T17:00:00+08:00
51,40,43,51,41,41,2016-02-25T18:00:00+08:00
52,42,44,52,43,42,2016-02-25T19:00:00+08:00
52,43,43,52,45,43,2016-02-25T20:00:00+08:00
52,44,43,52,46,44,2016-02-25T21:00:00+08:00
53,46,43,53,47,45,2016-02-25T22:00:00+08:00
53,46,45,53,47,45,2016-02-25T23:00:00+08:00
54,48,44,54,49,47,2016-02-26T01:00:00+08:00
54,50,44,54,49,48,2016-02-26T02:00:00+08:00
54,50,44,54,51,48,2016-02-26T03:00:00+08:00
54,51,46,54,50,50,2016-02-26T04:00:00+08:00
54,51,47,54,51,51,2016-02-26T05:00:00+08:00
54,51,48,54,52,51,2016-02-26T06:00:00+08:00
54,52,49,54,52,52,2016-02-26T07:00:00+08:00
54,52,49,54,52,52,2016-02-26T08:00:00+08:00
54,53,49,54,52,52,2016-02-26T09:00:00+08:00
54,53,49,54,53,52,2016-02-26T10:00:00+08:00
54,53,50,54,53,52,2016-02-26T11:00:00+08:00
54,53,49,54,53,52,2016-02-26T12:00:00+08:00
54,53,50,54,53,52,2016-02-26T13:00:00+08:00
54,54,51,54,53,52,2016-02-26T14:00:00+08:00
54,54,51,53,53,52,2016-02-26T15:00:00+08:00
54,53,51,54,53,52,2016-02-26T16:00:00+08:00
53,53,51,53,53,52,2016-02-26T17:00:00+08:00
54,54,50,54,53,52,2016-02-26T18:00:00+08:00
53,53,49,53,53,52,2016-02-26T19:00:00+08:00
53,53,49,53,53,52,2016-02-26T20:00:00+08:00
53,53,48,53,53,52,2016-02-26T21:00:00+08:00
53,53,48,53,52,52,2016-02-26T22:00:00+08:00
53,53,46,53,52,52,2016-02-26T23:00:00+08:00
53,52,45,53,52,51,2016-02-27T01:00:00+08:00
53,53,46,53,52,51,2016-02-27T02:00:00+08:00
53,53,46,53,52,51,2016-02-27T03:00:00+08:00
53,53,45,53,52,51,2016-02-27T04:00:00+08:00
53,53,45,53,52,51,2016-02-27T05:00:00+08:00
53,53,43,53,52,51,2016-02-27T06:00:00+08:00
53,52,43,53,51,50,2016-02-27T07:00:00+08:00
54,52,41,54,51,50,2016-02-27T08:00:00+08:00
54,52,40,54,51,48,2016-02-27T09:00:00+08:00
55,52,40,55,49,48,2016-02-27T10:00:00+08:00
55,52,39,55,49,48,2016-02-27T11:00:00+08:00
55,52,39,55,49,49,2016-02-27T13:00:00+08:00
55,52,38,55,50,49,2016-02-27T14:00:00+08:00
55,52,38,55,49,50,2016-02-27T15:00:00+08:00
55,52,38,55,48,48,2016-02-27T16:00:00+08:00
55,52,38,55,49,48,2016-02-27T18:00:00+08:00
53,51,45,53,44,51,2016-02-29T03:00:00+08:00
52,52,47,52,46,51,2016-02-29T11:00:00+08:00
53,52,47,53,46,51,2016-02-29T12:00:00+08:00
53,52,48,53,48,52,2016-02-29T13:00:00+08:00
53,52,49,53,49,52,2016-02-29T14:00:00+08:00
53,52,48,53,48,52,2016-02-29T15:00:00+08:00
53,52,50,53,49,52,2016-02-29T16:00:00+08:00
53,52,50,53,49,52,2016-02-29T17:00:00+08:00
53,53,50,53,49,52,2016-02-29T18:00:00+08:00
53,53,50,53,51,52,2016-02-29T19:00:00+08:00
53,53,50,53,50,52,2016-02-29T20:00:00+08:00
53,53,50,53,49,51,2016-02-29T21:00:00+08:00
53,52,48,53,49,52,2016-02-29T22:00:00+08:00
52,52,47,52,50,52,2016-02-29T23:00:00+08:00
52,52,45,52,50,52,2016-03-01T01:00:00+08:00
52,52,44,52,51,51,2016-03-01T02:00:00+08:00
53,53,44,53,51,52,2016-03-01T03:00:00+08:00
53,53,43,53,51,52,2016-03-01T04:00:00+08:00
53,53,43,53,51,52,2016-03-01T05:00:00+08:00
53,53,43,53,51,52,2016-03-01T06:00:00+08:00
53,53,44,53,51,51,2016-03-01T07:00:00+08:00
53,53,44,53,51,52,2016-03-01T08:00:00+08:00
53,53,45,53,51,52,2016-03-01T09:00:00+08:00
53,53,45,53,51,52,2016-03-01T10:00:00+08:00
53,53,46,53,51,52,2016-03-01T11:00:00+08:00
53,52,47,53,51,53,2016-03-01T12:00:00+08:00
53,52,47,53,50,53,2016-03-01T13:00:00+08:00
53,52,46,53,50,52,2016-03-01T14:00:00+08:00
53,53,46,53,51,52,2016-03-01T15:00:00+08:00
53,52,46,53,49,52,2016-03-01T16:00:00+08:00
53,52,45,53,49,52,2016-03-01T17:00:00+08:00
53,52,44,53,49,52,2016-03-01T18:00:00+08:00
53,51,45,53,49,52,2016-03-01T19:00:00+08:00
53,50,44,53,49,52,2016-03-01T20:00:00+08:00
53,51,43,53,48,52,2016-03-01T21:00:00+08:00
53,52,44,53,47,52,2016-03-01T22:00:00+08:00
53,51,46,53,47,51,2016-03-01T23:00:00+08:00
53,51,48,53,45,51,2016-03-02T01:00:00+08:00
53,51,50,53,45,50,2016-03-02T02:00:00+08:00
53,50,50,53,44,49,2016-03-02T03:00:00+08:00
53,50,51,53,44,49,2016-03-02T04:00:00+08:00
53,50,51,53,44,49,2016-03-02T05:00:00+08:00
53,48,52,53,45,48,2016-03-02T06:00:00+08:00
53,49,51,53,45,48,2016-03-02T07:00:00+08:00
53,49,51,53,45,46,2016-03-02T08:00:00+08:00
53,48,51,53,46,46,2016-03-02T10:00:00+08:00
53,49,50,53,47,45,2016-03-02T12:00:00+08:00
53,48,51,53,51,44,2016-03-02T14:00:00+08:00
53,48,51,53,52,45,2016-03-02T16:00:00+08:00
53,49,52,53,52,46,2016-03-02T17:00:00+08:00
53,51,52,53,53,47,2016-03-02T18:00:00+08:00
53,51,52,53,53,47,2016-03-02T19:00:00+08:00
53,52,52,53,53,46,2016-03-02T20:00:00+08:00
54,52,51,53,54,47,2016-03-02T23:00:00+08:00
54,52,48,53,54,48,2016-03-03T02:00:00+08:00
54,52,48,53,54,47,2016-03-03T03:00:00+08:00
54,52,45,53,54,48,2016-03-03T07:00:00+08:00
54,52,46,53,54,49,2016-03-03T08:00:00+08:00
54,53,43,53,54,47,2016-03-03T11:00:00+08:00
54,52,44,53,54,45,2016-03-03T12:00:00+08:00
53,53,44,53,53,46,2016-03-03T13:00:00+08:00
53,53,45,53,53,47,2016-03-03T14:00:00+08:00
54,54,46,54,53,46,2016-03-03T16:00:00+08:00
