Video ID,Title,Comment
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,"I’m terrified of how much more advanced technology can get...this isn’t helping. I know that it’s extremely intelligent, but it’s only going to get worse, but I guess at the same time, better...😰It scares me so much."
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,What an pice of fuck bullshit trash
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,It's more like a DeLorean first draft sketch (chucked in the bin) before they settled on a more refined form.
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,ugly--gross; just another suv-looking vehicle to crowd the streets and highways--not a good answer
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,"Wait a minute
What was this Pokémon again???"
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,Worst introduction video I’ve ever seen.  Plus it’s ugly as fuck.
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,A Dorito that can drive
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,"Looks like a butt ugly, jacked up DeLorean."
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,When the glass breaks his heart would have broken ... Bad luck and better luck next time... Hard work never fails
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,Love it
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,War car?
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,Nasty!!! Definitely a gamechanger
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,The engineers must be packing there bags before Elon musk comes back
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,Epic quality
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,U might need to put a screen protector on that glass
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,7:49 for those seeking the glass breaking
